Date,Time,ESP_ms,Temperature_C,Pressure_hPa,AngleX,AngleY,AngleZ,AccX_g,AccY_g,AccZ_g,Altitude_m,Result
09-09-2025,23:53:14.310,127047,36.15,976.24,-1.12,1.1,-179.38,-0.035,0.003,1.004,312.81,Anomaly
09-09-2025,23:53:17.309,130050,36.32,976.23,-1.06,0.85,-184.69,-0.022,0.004,1.002,312.91,Anomaly
09-09-2025,23:53:20.314,133053,36.34,976.22,-1.09,0.36,-189.79,-0.016,0.003,0.995,312.94,Anomaly
09-09-2025,23:53:23.317,136056,36.27,976.22,-1.07,0.2,-194.64,-0.01,0.001,0.99,312.93,Anomaly
09-09-2025,23:53:26.324,139059,35.58,976.25,-1.01,-0.21,-199.31,-0.008,0.002,0.999,312.71,Anomaly
09-09-2025,23:53:29.325,142062,35.19,976.17,-1.04,-0.21,-203.92,-0.002,0.003,1.001,313.39,Anomaly
09-09-2025,23:53:32.325,145065,36.53,976.29,-1.04,0.81,-208.67,-0.027,0.005,1.011,312.34,Anomaly
09-09-2025,23:53:35.333,148068,36.58,976.25,-1.09,0.48,-213.49,-0.016,0,1.001,312.68,Anomaly
09-09-2025,23:53:38.333,151071,36.5,976.22,-1.12,0.38,-218.35,-0.009,0.002,0.99,312.95,Anomaly
09-09-2025,23:53:41.335,154074,36.37,976.22,-1.07,0.3,-223.22,-0.012,0.001,0.983,312.98,Anomaly
09-09-2025,23:53:44.344,157077,35.81,976.26,-1,-0.15,-227.97,-0.006,0.003,0.993,312.66,Anomaly
09-09-2025,23:53:47.335,160080,35.27,976.2,-1.03,-0.22,-232.52,-0.005,0.002,0.998,313.11,Anomaly
09-09-2025,23:53:50.344,163083,34.89,976.22,-1.03,-0.21,-237.17,-0.008,0.003,0.991,312.97,Anomaly
09-09-2025,23:53:53.349,166086,34.61,976.17,-1.07,-0.22,-241.83,-0.003,0.001,1.001,313.41,Anomaly
09-09-2025,23:53:56.350,169089,34.39,976.18,-1.07,-0.2,-246.48,-0.007,0.001,1.002,313.35,Anomaly
09-09-2025,23:53:59.352,172092,34.17,976.19,-1.04,-0.2,-251.15,-0.004,0,1,313.26,Anomaly
09-09-2025,23:54:02.343,175095,33.97,976.18,-1.09,-0.24,-255.84,-0.004,0,0.999,313.28,Anomaly
09-09-2025,23:54:05.352,178098,33.84,976.19,-1.1,-0.25,-260.54,-0.006,0,0.995,313.23,
09-09-2025,23:54:08.355,181101,33.74,976.12,-1.08,-0.26,-265.24,-0.003,0,1.001,313.78,
09-09-2025,23:54:11.368,184104,33.64,976.16,-1.03,-0.26,-269.97,-0.01,0.002,0.995,313.45,
09-09-2025,23:54:14.355,187107,33.55,976.19,-1.03,-0.27,-274.63,-0.004,0.001,0.997,313.18,
09-09-2025,23:54:17.365,190110,33.47,976.17,-1.02,-0.25,-279.33,0.001,0.001,0.996,313.43,
09-09-2025,23:54:20.375,193113,33.39,976.19,-1.11,-0.28,-284.05,-0.004,0.002,0.997,313.24,
09-09-2025,23:54:23.373,196116,33.34,976.17,-1.09,-0.24,-288.77,-0.004,-0.001,0.997,313.37,
09-09-2025,23:54:26.380,199119,33.28,976.18,-1.08,-0.25,-293.45,-0.006,0.002,0.997,313.32,
09-09-2025,23:54:29.383,202122,33.24,976.18,-1.05,-0.28,-298.16,-0.001,0.001,0.997,313.28,
09-09-2025,23:54:32.376,205125,33.2,976.21,-0.99,-0.21,-302.84,-0.004,-0.004,0.997,313.09,
09-09-2025,23:54:35.385,208128,33.17,976.18,-1.08,-0.25,-307.5,-0.001,0,0.993,313.3,
09-09-2025,23:54:38.392,211131,33.13,976.18,-1.08,-0.25,-312.17,-0.004,0.001,0.991,313.28,
09-09-2025,23:54:41.394,214134,33.09,976.15,-0.99,-0.25,-316.85,-0.005,0.001,0.997,313.58,
09-09-2025,23:54:44.389,217137,33.06,976.16,-1.02,-0.25,-321.53,-0.002,0.003,0.995,313.45,
09-09-2025,23:54:47.402,220140,33.05,976.16,-0.98,-0.25,-326.17,-0.002,0.004,0.993,313.51,
09-09-2025,23:54:50.402,223143,33.03,976.2,-1,-0.26,-330.86,-0.004,0.003,0.991,313.17,
09-09-2025,23:54:53.406,226146,33.02,976.21,-1.03,-0.25,-335.56,-0.001,0.002,1,313.07,
09-09-2025,23:54:56.408,229149,32.99,976.21,-1.01,-0.25,-340.23,-0.005,0.002,0.996,313.03,
09-09-2025,23:54:59.409,232152,32.98,976.23,-1.06,-0.25,-344.95,-0.001,0.004,0.998,312.91,
09-09-2025,23:55:02.415,235155,32.94,976.2,-1.05,-0.26,-349.66,-0.002,0.002,0.994,313.13,
09-09-2025,23:55:05.415,238158,32.94,976.2,-1.05,-0.26,-354.32,-0.001,0.002,0.994,313.16,
09-09-2025,23:55:08.421,241161,32.93,976.19,-1.07,-0.25,-359,-0.007,0.001,0.997,313.22,
09-09-2025,23:55:11.418,244164,32.91,976.19,-1.06,-0.25,-363.7,-0.003,0.002,0.999,313.19,
09-09-2025,23:55:14.422,247167,32.92,976.23,-1.06,-0.28,-368.35,0.001,-0.002,1.005,312.88,
09-09-2025,23:55:17.430,250170,32.9,976.21,-1,-0.24,-373.02,-0.004,0.001,1.001,313.07,
09-09-2025,23:55:20.424,253173,32.9,976.16,-1.02,-0.26,-377.71,-0.004,0.004,0.998,313.51,
09-09-2025,23:55:23.431,256176,32.89,976.18,-1.03,-0.25,-382.37,-0.003,0.004,0.996,313.32,
09-09-2025,23:55:26.436,259179,32.87,976.21,-1.02,-0.26,-387.03,-0.008,0.003,0.999,313.03,
09-09-2025,23:55:29.438,262182,32.84,976.18,-1.03,-0.28,-391.72,-0.004,-0.002,1.002,313.27,
09-09-2025,23:55:32.443,265185,32.85,976.2,-1.01,-0.26,-396.45,-0.004,0.003,0.999,313.09,
09-09-2025,23:55:35.440,268188,32.85,976.22,-0.99,-0.24,-401.11,-0.004,-0.001,0.996,312.96,
09-09-2025,23:55:38.446,271191,32.84,976.19,-1.03,-0.27,-405.79,-0.004,-0.001,1,313.23,
09-09-2025,23:55:41.448,274194,32.84,976.16,-1.02,-0.28,-410.48,0,0.002,0.997,313.47,
09-09-2025,23:55:44.450,277197,32.83,976.19,-1.04,-0.28,-415.2,-0.003,0.004,0.998,313.2,
09-09-2025,23:55:47.459,280200,32.82,976.17,-1.05,-0.27,-419.91,-0.005,-0.001,1,313.42,
09-09-2025,23:55:50.470,283203,32.81,976.18,-1.04,-0.27,-424.61,-0.002,0.002,0.993,313.29,
09-09-2025,23:55:53.457,286206,32.8,976.19,-0.99,-0.26,-429.31,-0.001,0.005,0.996,313.25,
09-09-2025,23:55:56.466,289209,32.8,976.21,-1.03,-0.27,-434.02,-0.007,0.001,0.994,313.08,
09-09-2025,23:55:59.470,292212,32.79,976.2,-1.01,-0.26,-438.71,-0.005,0.001,0.996,313.17,
09-09-2025,23:56:02.473,295215,32.79,976.19,-1.02,-0.25,-443.42,-0.001,0,0.997,313.23,
09-09-2025,23:56:05.477,298218,32.78,976.17,-1.05,-0.27,-448.1,0,0,1.001,313.41,
09-09-2025,23:56:08.478,301221,32.78,976.21,-1.05,-0.25,-452.76,-0.001,-0.001,1.001,313.07,
09-09-2025,23:56:11.471,304224,32.77,976.2,-1.04,-0.27,-457.42,-0.003,0.005,0.996,313.13,
09-09-2025,23:56:14.476,307227,32.76,976.18,-1.04,-0.25,-462.13,-0.003,0.003,0.989,313.31,
09-09-2025,23:56:17.485,310230,32.76,976.19,-1.09,-0.27,-466.84,-0.006,0.001,0.991,313.19,
09-09-2025,23:56:20.491,313233,32.76,976.2,-1.06,-0.24,-471.55,-0.009,0,0.999,313.18,
09-09-2025,23:56:23.495,316236,32.74,976.18,-1.01,-0.24,-476.23,-0.007,0.005,0.997,313.33,
09-09-2025,23:56:26.497,319239,32.73,976.18,-1.02,-0.27,-480.86,-0.003,-0.002,1.001,313.28,
09-09-2025,23:56:29.499,322242,32.72,976.18,-1.07,-0.27,-485.54,-0.005,0.001,0.999,313.28,
09-09-2025,23:56:32.504,325245,32.72,976.17,-1.04,-0.27,-490.25,-0.003,0.004,0.999,313.37,
09-09-2025,23:56:35.493,328248,32.7,976.17,-1.06,-0.29,-494.97,-0.004,0.004,0.995,313.39,
09-09-2025,23:56:38.508,331251,32.7,976.15,-1.08,-0.29,-499.68,-0.003,0.001,0.995,313.52,
09-09-2025,23:56:41.513,334254,32.69,976.17,-1.05,-0.25,-504.37,-0.007,0.003,0.99,313.43,
09-09-2025,23:56:44.515,337257,32.69,976.17,-1.02,-0.26,-509.09,-0.003,0.002,1.001,313.38,
09-09-2025,23:56:47.513,340260,32.69,976.21,-1.03,-0.25,-513.79,-0.001,0,1,313.06,
09-09-2025,23:56:50.516,343263,32.68,976.18,-1,-0.26,-518.51,-0.005,0.004,0.992,313.32,
09-09-2025,23:56:53.514,346266,32.67,976.16,-1.02,-0.25,-523.3,-0.003,0.003,0.991,313.51,
09-09-2025,23:56:56.522,349269,32.67,976.13,-1.06,-0.26,-528.06,-0.009,0,1,313.76,
09-09-2025,23:56:59.527,352272,32.67,976.16,-1.05,-0.26,-532.8,-0.005,0.001,0.99,313.49,
09-09-2025,23:57:02.530,355275,32.68,976.17,-1.07,-0.24,-537.53,-0.005,0.004,1,313.39,
09-09-2025,23:57:05.530,358278,32.68,976.19,-1.03,-0.26,-542.23,-0.004,0.004,0.992,313.26,
09-09-2025,23:57:08.528,361281,32.67,976.19,-1.1,-0.28,-546.98,-0.006,0.008,0.996,313.24,
09-09-2025,23:57:11.536,364284,32.65,976.14,-1.13,-0.28,-551.73,-0.004,-0.003,0.993,313.65,
09-09-2025,23:57:14.534,367287,32.65,976.18,-1.13,-0.31,-556.53,-0.001,0,0.993,313.33,
09-09-2025,23:57:17.540,370290,32.65,976.14,-1.09,-0.24,-561.26,-0.003,0.004,0.994,313.68,
09-09-2025,23:57:20.548,373293,32.66,976.21,-1.08,-0.28,-566.01,-0.004,0.002,1,313.08,
09-09-2025,23:57:23.545,376296,32.65,976.15,-1.07,-0.26,-570.77,-0.006,0.004,0.998,313.57,
09-09-2025,23:57:26.554,379299,32.65,976.18,-1.06,-0.27,-575.51,-0.001,0,0.993,313.33,
09-09-2025,23:57:29.557,382302,32.65,976.15,-1.07,-0.25,-580.23,-0.005,0.004,0.994,313.57,
09-09-2025,23:57:32.560,385305,32.65,976.14,-1.05,-0.22,-584.95,-0.007,0,0.99,313.66,
09-09-2025,23:57:35.556,388308,32.65,976.16,-1.06,-0.25,-589.68,-0.003,-0.002,0.998,313.44,
09-09-2025,23:57:38.566,391311,32.65,976.17,-1.02,-0.25,-594.45,-0.004,0.001,0.994,313.39,
09-09-2025,23:57:41.565,394314,32.66,976.17,-1.03,-0.25,-599.19,-0.003,0.001,1.001,313.38,
09-09-2025,23:57:44.568,397317,32.66,976.19,-1.05,-0.25,-603.96,-0.003,0.003,0.995,313.21,
09-09-2025,23:57:47.575,400320,32.67,976.18,-1.02,-0.26,-608.71,-0.005,0,0.996,313.29,
09-09-2025,23:57:50.578,403323,32.65,976.16,-1.04,-0.29,-613.46,0,0.004,0.996,313.44,
09-09-2025,23:57:53.581,406326,32.65,976.18,-1.03,-0.27,-618.19,-0.007,0.001,0.993,313.28,
09-09-2025,23:57:56.580,409329,32.65,976.18,-1.09,-0.28,-622.96,-0.003,-0.001,0.992,313.33,
09-09-2025,23:57:59.581,412332,32.64,976.19,-1.04,-0.25,-627.71,-0.005,0.002,0.994,313.19,
09-09-2025,23:58:02.591,415335,32.65,976.19,-1.02,-0.27,-632.43,-0.003,0,0.991,313.24,
09-09-2025,23:58:05.592,418338,32.65,976.18,-1.05,-0.26,-637.18,-0.003,0.002,0.998,313.35,
09-09-2025,23:58:08.597,421341,32.65,976.19,-1.04,-0.25,-641.92,-0.004,0.002,0.996,313.18,
09-09-2025,23:58:11.599,424344,32.65,976.15,-1.04,-0.23,-646.64,-0.005,-0.001,1,313.53,
09-09-2025,23:58:14.598,427347,32.65,976.18,-1.04,-0.27,-651.38,-0.005,0.002,0.998,313.33,
09-09-2025,23:58:17.605,430350,32.66,976.21,-1.08,-0.25,-656.1,-0.002,0.006,0.996,313.04,
09-09-2025,23:58:20.596,433353,32.65,976.15,-1.05,-0.28,-660.85,-0.004,-0.002,0.99,313.54,
09-09-2025,23:58:23.602,436356,32.65,976.16,-1.05,-0.25,-665.59,-0.003,0.002,0.999,313.59,
09-09-2025,23:58:26.603,439359,32.64,976.19,-1.04,-0.25,-670.3,-0.004,0.002,0.989,313.19,
09-09-2025,23:58:29.617,442362,32.63,976.2,-1.07,-0.26,-675.1,-0.004,0.001,0.995,313.16,
09-09-2025,23:58:32.616,445365,32.63,976.17,-1.05,-0.27,-679.84,-0.006,0.004,0.998,313.36,
09-09-2025,23:58:35.610,448368,32.63,976.18,-1.06,-0.25,-684.61,-0.005,0.001,1.003,313.28,
09-09-2025,23:58:38.626,451371,32.63,976.19,-1.06,-0.27,-689.38,-0.007,0.001,0.996,313.19,
09-09-2025,23:58:41.628,454374,32.62,976.18,-1.05,-0.26,-694.15,-0.005,0.002,0.993,313.31,
09-09-2025,23:58:44.618,457377,32.62,976.17,-1.09,-0.26,-698.92,-0.002,-0.003,1.001,313.38,
09-09-2025,23:58:47.635,460380,32.61,976.2,-1.07,-0.27,-703.7,-0.003,0.002,0.995,313.11,
09-09-2025,23:58:50.627,463383,32.6,976.17,-1.1,-0.23,-708.52,-0.009,0.004,0.995,313.43,
09-09-2025,23:58:53.640,466386,32.6,976.18,-1.11,-0.25,-713.32,-0.003,0,0.993,313.31,
09-09-2025,23:58:56.631,469389,32.61,976.19,-1.1,-0.26,-718.12,-0.003,0.002,1,313.21,
09-09-2025,23:58:59.644,472392,32.61,976.17,-1.05,-0.26,-722.92,-0.007,0.003,0.997,313.38,
09-09-2025,23:59:02.648,475395,32.6,976.18,-1.06,-0.25,-727.73,-0.002,0.005,0.998,313.29,
09-09-2025,23:59:05.651,478398,32.59,976.17,-1.09,-0.25,-732.56,-0.002,0,0.997,313.38,
09-09-2025,23:59:08.653,481401,32.58,976.17,-1.09,-0.27,-737.41,-0.003,0.003,0.997,313.43,
09-09-2025,23:59:11.658,484404,32.57,976.21,-1.03,-0.28,-742.24,-0.003,0.006,0.994,313.07,
09-09-2025,23:59:14.660,487407,32.57,976.18,-1.09,-0.28,-747.09,-0.004,0.001,0.993,313.27,
09-09-2025,23:59:17.659,490410,32.56,976.19,-1.06,-0.24,-751.89,-0.002,0.001,0.997,313.22,
09-09-2025,23:59:20.659,493413,32.57,976.19,-1.08,-0.3,-756.69,-0.004,0.003,0.991,313.25,
09-09-2025,23:59:23.670,496416,32.56,976.16,-1.04,-0.26,-761.51,-0.004,0.001,1.001,313.48,
09-09-2025,23:59:26.658,499419,32.55,976.18,-1.12,-0.28,-766.35,-0.005,-0.001,0.995,313.34,
09-09-2025,23:59:29.675,502422,32.55,976.2,-1.08,-0.25,-771.19,-0.004,0.005,0.999,313.14,
09-09-2025,23:59:32.678,505425,32.56,976.2,-1.13,-0.27,-776,-0.008,0.001,0.994,313.16,
09-09-2025,23:59:35.677,508428,32.56,976.2,-1.07,-0.25,-780.82,-0.007,0.005,0.995,313.16,
09-09-2025,23:59:38.675,511431,32.55,976.21,-1.06,-0.26,-785.66,-0.005,0,0.991,313.09,
09-09-2025,23:59:41.685,514434,32.54,976.2,-1.09,-0.25,-790.51,-0.004,0.003,1.001,313.15,
09-09-2025,23:59:44.690,517437,32.53,976.21,-1.05,-0.26,-795.33,-0.004,0.002,0.995,313.08,
09-09-2025,23:59:47.694,520440,32.53,976.23,-1.06,-0.26,-800.19,-0.004,0.004,1.003,312.88,
09-09-2025,23:59:50.696,523443,32.53,976.19,-1.11,-0.3,-805.03,-0.01,0.003,1,313.18,
09-09-2025,23:59:53.699,526446,32.54,976.22,-1.13,-0.28,-809.89,-0.005,0,0.995,312.99,
09-09-2025,23:59:56.700,529449,32.54,976.18,-1.08,-0.26,-814.73,-0.004,0,0.988,313.3,
09-09-2025,23:59:59.705,532452,32.54,976.25,-1.1,-0.27,-819.57,-0.004,0.004,0.996,312.69,
10-09-2025,00:00:02.708,535455,32.53,976.2,-1.05,-0.26,-824.43,-0.004,0.003,0.999,313.11,
10-09-2025,00:00:05.703,538458,32.53,976.18,-26.04,-3.48,-839.44,-0.054,-0.433,0.558,313.34,Anomaly
10-09-2025,00:00:08.709,541461,32.53,976.2,-15.66,-2.49,-853.98,0.041,-0.225,0.998,313.11,Anomaly
10-09-2025,00:00:11.714,544464,32.53,976.21,-18.05,1.45,-859.89,0.025,-0.202,0.797,313.02,Anomaly
10-09-2025,00:00:14.711,547467,32.52,976.22,-22.63,-11.42,-860.09,-0.24,-0.378,1.321,312.94,Anomaly
10-09-2025,00:00:17.707,550470,32.53,976.23,-9.84,-0.1,-871.94,0.492,-0.094,1.533,312.91,Anomaly
10-09-2025,00:00:20.726,553473,32.53,976.19,-24.98,14.47,-888.17,-0.269,-0.509,0.639,313.18,Anomaly
10-09-2025,00:00:23.717,556476,32.53,976.19,-43.31,5.43,-904.69,0.008,-0.246,-0.054,313.18,Anomaly
10-09-2025,00:00:26.731,559479,32.53,976.19,-6.69,-5.79,-921.27,0.394,0.09,0.394,313.18,Anomaly
10-09-2025,00:00:29.734,562482,32.54,976.21,-47.31,-8.36,-933.52,0.181,-0.439,0.064,313.04,Anomaly
10-09-2025,00:00:32.727,565485,32.55,976.2,-27.71,-0.91,-957.83,0.205,0.023,1.866,313.18,Anomaly
10-09-2025,00:00:35.740,568488,32.54,976.21,-19.51,0.5,-969.96,-0.011,-0.345,1.633,313.03,Anomaly
10-09-2025,00:00:38.743,571491,32.54,976.19,-1,-1.9,-977.6,0.025,0.006,0.989,313.25,
10-09-2025,00:00:41.736,574494,32.55,976.2,-1.02,-1.88,-982.26,0.023,-0.001,0.994,313.14,
10-09-2025,00:00:44.748,577497,32.55,976.15,-0.99,-1.9,-986.93,0.025,0.001,0.997,313.57,
10-09-2025,00:00:47.748,580500,32.54,976.2,-1,-1.89,-991.65,0.026,0.004,0.996,313.1,
10-09-2025,00:00:50.753,583503,32.53,976.19,-0.99,-1.84,-996.3,0.02,0.001,0.993,313.19,
10-09-2025,00:00:53.757,586506,32.54,976.16,-1.02,-1.87,-1001,0.021,0,0.993,313.48,
10-09-2025,00:00:56.750,589509,32.54,976.15,-1.03,-1.9,-1005.69,0.022,0.004,0.997,313.55,
10-09-2025,00:00:59.748,592512,32.54,976.18,-1.01,-1.87,-1010.41,0.022,0.004,0.997,313.33,
10-09-2025,00:01:02.758,595515,32.52,976.16,-0.97,-1.9,-1015.16,0.021,0.003,0.995,313.51,
10-09-2025,00:01:05.769,598518,32.51,976.11,-1.01,-1.89,-1019.84,0.025,0,0.995,313.63,
10-09-2025,00:01:08.764,601521,32.52,976.19,-0.98,-1.89,-1024.55,0.025,0.005,0.994,313.26,
10-09-2025,00:01:11.775,604524,32.51,976.16,-0.98,-1.87,-1029.25,0.023,0,0.995,313.51,
10-09-2025,00:01:14.777,607527,32.52,976.18,-1.02,-1.9,-1033.99,0.027,0,0.996,313.27,
10-09-2025,00:01:17.767,610530,32.51,976.19,-1.08,-1.89,-1038.69,0.022,0,0.993,313.24,
10-09-2025,00:01:20.784,613533,32.5,976.15,-1.03,-1.89,-1043.43,0.027,0.001,0.992,313.57,
10-09-2025,00:01:23.782,616536,32.49,976.17,-1.03,-1.88,-1048.17,0.023,0,0.995,313.39,
10-09-2025,00:01:26.784,619539,32.49,976.2,-0.98,-1.88,-1052.93,0.024,0.001,0.993,313.14,
10-09-2025,00:01:29.790,622542,32.5,976.17,-0.98,-1.86,-1057.65,0.025,0.005,0.997,313.42,
10-09-2025,00:01:32.788,625545,32.49,976.17,-1.02,-1.87,-1062.38,0.024,0.001,0.991,313.33,
10-09-2025,00:01:35.799,628548,32.48,976.17,-0.99,-1.87,-1067.15,0.021,0.002,0.992,313.42,
10-09-2025,00:01:38.801,631551,32.48,976.17,-0.99,-1.88,-1071.91,0.026,0.003,0.989,313.41,
10-09-2025,00:01:41.803,634554,32.48,976.17,-1.08,-1.86,-1076.66,0.025,0.001,0.994,313.42,
10-09-2025,00:01:44.804,637557,32.47,976.2,-1.01,-1.86,-1081.45,0.022,0,0.998,313.14,
10-09-2025,00:01:47.811,640560,32.48,976.17,-1.06,-1.86,-1086.21,0.023,-0.001,0.989,313.42,
10-09-2025,00:01:50.800,643563,32.48,976.14,-1.04,-1.86,-1090.98,0.026,0.001,0.992,313.65,
10-09-2025,00:01:53.809,646566,32.47,976.15,-1.07,-1.87,-1095.74,0.024,0.007,0.993,313.53,
10-09-2025,00:01:56.806,649569,32.47,976.14,-1,-1.86,-1100.47,0.026,0.001,0.992,313.66,
10-09-2025,00:01:59.823,652572,32.45,976.15,-0.98,-1.85,-1105.2,0.025,0.003,0.984,313.54,
10-09-2025,00:02:02.821,655575,32.46,976.16,-1.01,-1.83,-1109.93,0.024,0,0.994,313.51,
10-09-2025,00:02:05.828,658578,32.47,976.17,-0.99,-1.85,-1114.63,0.02,0.001,0.996,313.41,
10-09-2025,00:02:08.827,661581,32.47,976.19,-1.02,-1.88,-1119.33,0.022,0,0.994,313.26,
10-09-2025,00:02:11.831,664584,32.47,976.13,-1.05,-1.88,-1124.09,0.024,0.001,0.995,313.74,
10-09-2025,00:02:14.834,667587,32.45,976.15,-1.04,-1.88,-1128.83,0.028,0.001,0.995,313.55,
10-09-2025,00:02:17.834,670590,32.45,976.17,-1,-1.87,-1133.56,0.022,0.006,0.993,313.37,
10-09-2025,00:02:20.839,673593,32.45,976.18,-1,-1.87,-1138.28,0.022,0.002,0.994,313.28,
10-09-2025,00:02:23.838,676596,32.47,976.17,-0.97,-1.87,-1142.98,0.027,0.003,0.989,313.42,
10-09-2025,00:02:26.847,679599,32.45,976.17,-1,-1.88,-1147.7,0.026,0.002,0.996,313.35,
10-09-2025,00:02:29.852,682602,32.44,976.16,-1.02,-1.87,-1152.46,0.025,-0.002,0.996,313.44,
10-09-2025,00:02:32.853,685605,32.44,976.13,-1.01,-1.89,-1157.19,0.024,0.001,0.99,313.75,
10-09-2025,00:02:35.855,688608,32.44,976.15,-1.05,-1.84,-1161.93,0.021,0.003,0.992,313.53,
10-09-2025,00:02:38.858,691611,32.44,976.15,-1.02,-1.85,-1166.66,0.019,0.005,0.997,313.55,
10-09-2025,00:02:41.858,694614,32.45,976.14,-1,-1.86,-1171.36,0.023,0.001,0.994,313.56,
10-09-2025,00:02:44.870,697617,32.45,976.15,-1.01,-1.88,-1176.09,0.026,0.001,0.99,313.56,
10-09-2025,00:02:47.868,700620,32.46,976.16,-1.01,-1.85,-1180.89,0.024,0.002,0.993,313.47,
